grid_id,day_lst,night_lst,day_night_gap,centroid_lon,centroid_lat,dist_to_coast,elevation_mean,water_ratio,dist_to_major_river,avg_height,road_length,bldg_coverage_ratio,svf_mean,height_variance,ndvi,file_name,OID_,Shape_Leng,Shape_Area,MESH_KEYS,geometry_wkt
50,27.652992,22.284769,5.368223,139.7684965287073,35.540633802912716,2239.547259,-0.206420655,0.82840225,221.1640137,,61.92115919,0.0,0.997226556,,-0.004999691,bldg_50.shp,0,800.0,40000.0,"53392641,53392651","POLYGON ((139.767407 35.539721, 139.76738 35.541524, 139.769586 35.541547, 139.769613 35.539744, 139.767407 35.539721))"
51,30.172355,22.432842,7.739512999999999,139.7707023699367,35.54065631163716,2283.691278,1.163489691,0.41850675,324.5150066,7.15,255.753579,0.018043126,0.985124866,0.045,0.055861313,bldg_51.shp,0,800.0,40000.0,"53392641,53392651","POLYGON ((139.769613 35.539744, 139.769586 35.541547, 139.771792 35.541569, 139.771819 35.539766, 139.769613 35.539744))"
52,32.837001,22.437788,10.399213,139.77290821360958,35.540678780026695,2207.266652,3.131705322,0.02583375,427.8659995,12.95,203.7995384,0.317028404,0.918271681,187.4457143,0.086643711,bldg_52.shp,0,800.0,40000.0,"53392641,53392642,53392651,53392652","POLYGON ((139.771819 35.539766, 139.771792 35.541569, 139.773997 35.541591, 139.774025 35.539789, 139.771819 35.539766))"
53,33.628179,21.740574,11.887605000000004,139.77511405972155,35.540701208081224,2029.60284,3.424858726,0.0,531.2169924,9.4125,0.0,0.328226985,0.82339858,55.06410714,0.121067137,bldg_53.shp,0,800.0,40000.0,"53392641,53392642,53392651,53392652","POLYGON ((139.774025 35.539789, 139.773997 35.541591, 139.776203 35.541614, 139.776231 35.539811, 139.774025 35.539789))"
54,32.886606,21.993391,10.893215000000001,139.77731990826823,35.54072359580056,1856.488435,3.922075474,0.0,634.5679853,12.33333333,0.0,0.537276941,0.833864615,11.96333333,0.065997679,bldg_54.shp,0,800.0,40000.0,"53392642,53392652","POLYGON ((139.776231 35.539811, 139.776203 35.541614, 139.778409 35.541636, 139.778437 35.539833, 139.776231 35.539811))"
55,35.352013,23.092665,12.259348,139.77952575924525,35.54074594318458,1689.322624,3.392934478,0.0,737.9189783,,0.0,0.0,0.997564267,,0.114509799,bldg_55.shp,0,800.0,40000.0,"53392642,53392652","POLYGON ((139.778437 35.539833, 139.778409 35.541636, 139.780615 35.541659, 139.780642 35.539856, 139.778437 35.539833))"
56,35.408524,23.502446,11.906078,139.78173161264814,35.54076825023314,1530.056387,3.562861484,0.0,841.2699712,,0.0,0.0,0.999945338,,0.116698488,bldg_56.shp,0,800.0,40000.0,"53392642,53392652","POLYGON ((139.780642 35.539856, 139.780615 35.541659, 139.782821 35.541681, 139.782848 35.539878, 139.780642 35.539856))"
57,34.932995,23.860567,11.072427999999999,139.78393746847266,35.540790516946096,1381.424687,3.732426718,0.0,944.6209641,,0.0,0.0,1.0,,0.177804306,bldg_57.shp,0,800.0,40000.0,"53392642,53392652","POLYGON ((139.782848 35.539878, 139.782821 35.541681, 139.785027 35.541703, 139.785054 35.5399, 139.782848 35.539878))"
58,34.385401,23.833266,10.552135000000003,139.78614332671432,35.54081274332329,1247.235256,3.47085265,0.0,1050.110401,,0.0,0.0,0.99261688,,0.164598691,bldg_58.shp,0,800.0,40000.0,"53392642,53392643,53392652,53392653","POLYGON ((139.785054 35.5399, 139.785027 35.541703, 139.787233 35.541725, 139.78726 35.539922, 139.785054 35.5399))"
59,33.353448,23.50194,9.851507999999999,139.78834918736882,35.540834929364614,1132.632952,4.081962061,0.0,1156.453254,39.76666667,128.8075475,0.297802958,0.816862172,3.803333333,0.06024574,bldg_59.shp,0,800.0,40000.0,"53392642,53392643,53392652,53392653","POLYGON ((139.78726 35.539922, 139.787233 35.541725, 139.789439 35.541747, 139.789466 35.539945, 139.78726 35.539922))"
